año,total,ars_autogestion,ars_privada,ars_publica
2007,1719767325,194489003,973545223,551733099
2008,9869270716,1561558632,5695458805,2612253279
2009,13535189361,3740985957,7721476650,2072726754
2010,18477437876,2636502744,10435698484,5405236647
2011,20062748973,1213666160,12967221098,5881861716
2012,22215762752,1565558549,15372058455,5278145749
2013,24571481779,1991142925,17557153429,5023185425
2014,26823936199,1496602964,20292613928,5034719308
2015,29567731024,1680141029,22274764572,5612825423
2016,34276114131,1870570375,25752649198,6652894558
2017,37716167542,1828990574,27198190415,8688986553
2018,42804399717,2017084591,29966743815,10820571311
2019,48029276822,2423338550,32601220692,13004717579
2020,49660383713,2279989847,32537199188,14843194678
2021,58956339933,3190256423,37477704244,18288379265
2022,66829118258,3529214668,40912355025,22387548565
2023,70613537139,3801559065,40947239734,25864738340
