año,mes,ingresos_salud,gastos_salud,siniestralidad
2007,9,407733321,293418248,71.96327425
2007,10,556064399,380970924,68.51201492
2007,11,698901466,568170160,81.29474434
2007,12,718962558,477207993,66.37452642
2008,1,933393262,577819533,61.90526079
2008,2,942198350,636056642,67.50772191
2008,3,970658982,788949494,81.27978091
2008,4,983425045,749764796,76.24015677
2008,5,1012829618,723354902,71.41920903
2008,6,1056667492,795717166,75.30440484
2008,7,1036143704,827100576,79.82489039
2008,8,1042300989,907621596,87.07864672
2008,9,1062266235,912992187,85.94758611
2008,10,1076675706,1012671821,94.05541663
2008,11,1069608680,956697236,89.44366794
2008,12,1072390826,980524767,91.43352808
2009,1,1108460077,926473434,83.58202999
2009,2,1120941898,1024393354,91.38683779
2009,3,1131417762,1063238579,93.97400454
2009,4,1148049008,1064765503,92.74564897
2009,5,1241380738,1158755321,93.34407129
2009,6,1193423657,1133662543,94.99246444
2009,7,1192750232,1202227368,100.7945617
2009,8,1263845939,1138072537,90.04835968
2009,9,1378195587,1220170107,88.53388579
2009,10,1458926583,1198002451,82.115335
2009,11,1401359754,1187539561,84.7419485
2009,12,1586898434,1217888603,76.74647456
2010,1,1594317050,1271728600,79.76635512
2010,2,1659499930,1338578765,80.66157404
2010,3,1632346061,2419651026,148.2314984
2010,4,1661828002,1325308808,79.75005879
2010,5,1658361307,1246436932,75.16075819
2010,6,1616165399,1754029915,108.530347
2010,7,1699992527,1216890799,71.58212637
2010,8,1702793452,1553080193,91.20778518
2010,9,1720813019,1710737725,99.41450385
2010,10,1732068838,1573229516,90.82950295
2010,11,1580173203,1508768927,95.48123735
2010,12,1758919293,1558996669,88.63378067
2011,1,1755610771,1051175237,59.87518728
2011,2,1790351685,1827464872,102.0729551
2011,3,1844797835,1921974159,104.183457
2011,4,1822176203,1530728228,84.00549985
2011,5,1797533319,1605787847,89.33285575
2011,6,1856292669,1746491851,94.08494037
2011,7,1839488326,1587188073,86.28421556
2011,8,1905397246,1589120143,83.40098878
2011,9,1780274909,1524911840,85.65597548
2011,10,1873826815,2469317412,131.7793828
2011,11,2040519059,1657541300,81.23135594
2011,12,2048423321,1551048013,75.71911512
2012,1,2056507233,1486823376,72.2984754
2012,2,2074724887,1792151932,86.38022049
2012,3,2107023470,1889491085,89.67584421
2012,4,2099199780,2070079866,98.6128088
2012,5,2107864586,1916492958,90.92106629
2012,6,2127964683,1772215863,83.28220279
2012,7,2114452397,1920195335,90.81289028
2012,8,2153272559,1942616249,90.21692312
2012,9,2165384294,1792422443,82.77618198
2012,10,2137316954,1940804554,90.80565008
2012,11,2155079824,1955764410,90.75136745
2012,12,2181166051,1736704682,79.62276329
2013,1,2190393794,1977635643,90.28676253
2013,2,2196785492,1843015158,83.89600009
2013,3,2231698386,1901932877,85.22356287
2013,4,2205969538,1993677304,90.37646574
2013,5,2273301358,2155046842,94.79811528
2013,6,2226627870,2011009007,90.31634938
2013,7,2283558750,2253310627,98.67539547
2013,8,2429105829,2013015074,82.87062053
2013,9,2436628565,2149122277,88.2006518
2013,10,2437844029,2306542300,94.61402257
2013,11,2491827564,2070186643,83.07904901
2013,12,2478464302,1896988028,76.53884812
2014,1,2482489541,2064470679,83.1613042
