año,total,ars_autogestion,ars_privada,ars_publica
2007,2381661744,336570229,1385136299,659955216
2008,12258558889,1478327554,7817255641,2962975694
2009,15225649669,3391476942,9600005614,2234167113
2010,20017278082,2209335216,13056358446,4751584420
2011,22354692159,1566079344,15489244671,5299368144
2012,25479956719,1581737727,18127187417,5771031574
2013,27882205477,1583234298,20508537719,5790433461
2014,31170212067,1665625875,23594722863,5909863329
2015,34399435636,1940602501,26364400198,6094432937
2016,39576299818,2055561384,29831027161,7689711273
2017,43303077249,1976361534,31561945873,9764769842
2018,50188825577,2058116320,35536934553,12593774704
2019,54180854258,2260396241,37551633342,14368824675
2020,60195837902,2672073520,40635515463,16888248919
2021,64049897469,3307090684,42359394421,18383412365
2022,76678782618,4104002854,48910501674,23664278090
2023,79931708375,4253560644,47915296752,27762850979
