año,total,ars_autogestion,ars_privada,ars_publica
2007,73.76156309,58.03032559,73.12641474,84.72188303
2008,80.50922466,103.2097523,72.92507315,89.07654186
2009,88.89728619,123.9654531,79.90574928,96.87857901
2010,92.3074446,134.8164081,79.44178486,112.9218329
2011,89.74737308,77.49710539,83.71758193,110.9917552
2012,87.18916989,98.97712636,84.80112276,91.45931158
2013,88.12603364,125.7642617,85.60899695,86.74973055
2014,86.05631602,89.85228835,86.00488357,85.19180609
2015,85.95411662,86.57831924,84.48803844,92.09758285
2016,86.60767755,91.0004629,86.3284025,86.51683168
2017,87.09812313,92.54331978,86.1739974,88.98301437
2018,85.28671318,98.00634547,84.32562964,85.92000067
2019,88.64621549,107.2085728,86.81705106,90.50648103
2020,82.49803548,85.32661357,80.07084152,87.89066735
2021,92.04751649,96.46715886,88.47554305,99.48304973
2022,87.15464171,85.99444966,83.64738374,94.60482369
2023,88.34233444,89.37357155,85.4575522,93.1631206
